portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type,snapshot_date
1,1,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,21.6200008392334,2.435096832,72.16347121620225,0.2439662290827589,0.257757524374735,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.0742118792519373,46.38554569875083,-0.048712736100724,0.4025973567382956,False,33,17,97,100,65,A,0,46.25,34.25,91.35,91.35,Persistence,2026-06-10
2,2,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,15.100000381469728,5.15638016,150.76761556382647,0.2188990104216755,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189,30.789836259125664,-0.0167990382720481,0.2366026361331468,False,39,31,97,85,80,S,0,50.0,44.0,90.6,90.6,Persistence,2026-06-10
3,3,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,53.5801010131836,7.161585152,66.91818937213783,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.2109122992765131,0.0861774508359726,27.966928562640376,-0.0274361418374459,0.1407937702250524,True,25,21,97,85,73,A,0,38.8,35.8,89.19999999999999,89.19999999999999,Persistence,2026-06-10
4,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,68.36000061035156,5.264882688,24.573294223402407,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687516,0.8309852815411621,0.4101479002324941,38.2552308896809,-0.0134162392894114,0.1970518091305665,True,86,64,82,85,90,S,0,86.25,69.75,84.35,86.25,Acceleration,2026-06-10
5,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,500.6900024414063,172.57889792,3136.3615295271607,0.5070444831407314,0.009912070343725,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,57.84571270992113,0.1411781349896237,0.1570238736390521,True,74,100,30,25,70,A,0,66.25,85.75,36.75,85.75,Transition,2026-06-10
6,2,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,15.875499725341797,2.723236352,11.448036377415276,0.8302486035305537,0.1262751043847486,-0.0571119585493251,0.4567378201956441,3.0,0.544924333598866,57.01496333480802,0.1467248521331257,0.1460193870341744,True,82,75,38,100,70,A,0,83.5,78.25,59.900000000000006,83.5,Acceleration,2026-06-10
7,2,TE,T1 Energy Inc. Common Stock,Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,8.100000381469727,2.262098432,390.8652340978082,3.0,,,0.0735884654340357,1.1084563968056649,0.39983951700595,46.99399099207829,0.2294336030419796,0.327242491101878,True,47,83,26,100,53,B,0,55.55,82.55,49.9,82.55,Transition,2026-06-10
8,3,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,65.29499816894531,3.6832064,71.23218420419997,0.3162056530410782,-0.0541775239256672,-0.132765700782457,0.298331611372594,2.1950247789330484,0.1148662796231084,43.11904813942204,-0.07416863133652,0.2313713888803569,True,66,81,30,85,90,S,0,71.25,82.5,55.75,82.5,Transition,2026-06-10
9,3,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,282.5899963378906,3.59291904,163.41553551378323,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,63.58098105659728,0.1622282849241835,0.0,True,85,64,100,85,25,D,0,79.0,63.25,81.25,81.25,Persistence,2026-06-10
10,4,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,65.3550033569336,2.86700544,115.83287150845908,0.3715338844715918,0.2578265054708267,-0.3291766141597009,0.5919242798859489,1.4730334683436368,0.0168231905835211,36.23742140310922,-0.048898962509894,0.3157260821362496,False,74,68,46,100,63,B,0,76.8,72.3,62.9,76.8,Acceleration,2026-06-10
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.209999084472656,5.03749632,198.04222722854607,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.1310807143750282,55.70738876890445,0.0932242319377703,0.1996039966545482,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence,2026-06-14
2,2,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,21.65999984741211,2.43960192,74.13243247776032,0.2439662290827589,0.257757524374735,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.0742118792519373,41.051229503775936,-0.0437297270157807,0.4014921064012815,False,33,17,97,100,65,A,0,46.25,34.25,91.35,91.35,Persistence,2026-06-14
3,3,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,19.07999992370605,4.01750528,76.58807369375229,0.2936668241079841,0.3385397417093356,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.1317065111505827,31.617644996378843,-0.0661067318627265,0.2141680649045269,True,39,66,97,85,80,S,0,50.0,70.25,90.6,90.6,Persistence,2026-06-14
4,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,69.29000091552734,5.336508416,25.59191538814545,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687516,0.8309852815411621,0.4101479002324941,36.248529704410814,0.0002326961614956,0.1861280665666694,True,86,64,82,85,90,S,0,86.25,69.75,84.35,86.25,Acceleration,2026-06-14
5,1,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,33.150001525878906,4.689982464,51.06393085044861,0.4886648123841797,-0.0445496768231476,-0.6162289496064445,0.472347609514799,0.9385544224478756,0.2864223945031945,32.85714199213204,-0.0943265894873853,0.2220135871618473,False,71,85,34,85,70,A,0,73.0,83.5,53.95,83.5,Transition,2026-06-14
