rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,354.7200012207031,4.5246336,164.7248741668701,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,40.5431847730856,-0.030767235409456924,0.198427220303289,True,85,64,100,85,100,S,0,86.5,70.75,96.25,96.25,Persistence
2,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,20.899999618530273,3.589652224,54.943277497167585,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,52.23880597014925,0.0535707855365774,0.13349921677720247,True,82,75,38,85,85,S,0,82.75,77.5,59.150000000000006,82.75,Acceleration
3,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,73.7300033569336,3.23440128,129.2534883349228,0.3715338844715918,0.2578265054708267,-0.32917661415970095,0.5919242798859489,1.4730334683436368,0.016823190583521164,31.742159562917735,-0.0002738557264722073,0.2280389309198321,True,74,68,46,85,90,S,0,77.25,72.75,64.55,77.25,Acceleration
4,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,96.08999633789062,22.98749952,296.242095559845,1.8877043354655294,-0.45710610932475887,-0.3205453115441755,0.5084912626138322,3.0,0.17888075794534591,55.94337736003418,0.06263216683253164,0.20430492702400427,False,73,87,46,65,75,A,0,72.0,82.5,56.55,82.5,Transition
5,APPS,"Digital Turbine, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,10.869999885559082,1.315446656,45.64062941948891,0.15238345708309378,-0.09913275369984682,-0.18236124459394523,0.4858761859775569,1.717189203051869,0.43829293272532416,59.68911800350221,0.03592870422782712,0.24461434147199462,True,65,67,30,100,100,S,-5,68.75,70.25,56.5,70.25,Transition
6,AVPT,"AvePoint, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,13.369999885559082,2.82862976,27.43938446513176,0.26934901144389106,0.21578957049572337,0.16994994383207296,0.7406393847870187,-0.05539999291106937,0.012606740405559688,50.165020345060285,0.08789402041033458,0.1950632513988754,True,57,47,92,100,85,S,0,66.25,58.75,92.6,92.6,Persistence
7,AIP,"Arteris, Inc.  - Common Stock",Technology,Semiconductors,United States,半導体,23.889999389648438,1.174243712,16.13088593788147,0.22269766474949762,0.07561584615957963,0.06526658462027075,0.9023080519701328,3.0,0.05187297337239527,29.431216630866047,-0.29633471839984804,0.5083350624691022,True,72,44,65,100,18,D,-5,65.8,44.8,59.349999999999994,65.8,Acceleration
8,BULL,Webull Corporation - Class A Ordinary Shares,Technology,Software - Application,United States,ソフトウェア,8.779999732971191,4.669367808,115.42429098956585,0.46323267288603315,0.0016095941050902206,0.0032694884585113206,0.7745187667477075,2.0718133318920744,0.01997567297325036,75.67565869554151,0.19044386736535476,0.43536979901758666,True,69,77,72,85,10,D,0,65.5,71.5,62.85,71.5,Transition
9,AMD,"Advanced Micro Devices, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,473.25,772.568776704,12562.85664,0.34337793290672874,0.13690476190476192,-0.03902377017922969,0.4951644100580271,1.8004158004158004,0.05000909965421314,47.10986759044847,-0.07248475498841488,0.18532987574951704,True,67,32,46,10,90,S,0,60.75,34.5,45.8,60.75,Acceleration
10,CVLT,"Commvault Systems, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,133.80999755859375,5.545696768,95.10010336486816,0.18889856461156326,0.1863241691659309,0.06966313616028753,0.8115047013998598,0.1646400754324104,0.48640119174788804,59.28481525521538,-0.03110094897575624,0.31523466019697977,True,52,14,57,85,83,S,0,60.05,31.55,69.2,69.2,Persistence
