rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,FLYW,Flywire Corporation - Voting Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,18.1299991607666,2.237565952,44.34072024747849,0.2659404564517702,0.22091621309173542,0.3929814254859611,0.6142048874443241,-0.022817760851689965,0.001073953593396063,55.07743469960917,0.10188646326685871,0.03461136858962543,True,42,24,92,100,57,B,0,52.2,38.7,87.0,87.0,Persistence
2,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,88.54000091552734,10.723940352,314.70082415409087,0.24120162058213998,0.22465031467392235,0.24941436937580347,0.7678756768953069,0.31998218609959084,0.009285980004130084,51.43712496884852,0.10265639578905464,0.0974515566492663,True,50,24,100,65,70,A,0,54.25,34.75,85.25,85.25,Persistence
3,AGYS,"Agilysys, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,106.68000030517578,3.00820352,41.40517511844635,0.1585057904971991,0.16069804265067547,0.19891954661348546,0.6261055018289322,0.30191995415034867,0.03954910202521972,55.827174839209036,0.18619266998819184,0.2440475907288148,True,28,33,87,85,70,A,0,40.75,44.5,83.1,83.1,Persistence
4,MDB,"MongoDB, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,312.3299865722656,25.121302528,522.025216257019,0.22794268264784995,0.19217462036790015,0.3107153982741971,0.7174856532417241,3.0,0.008741774075461417,49.354830014567334,-0.06318672312999228,0.29112577792637145,False,57,42,97,65,63,B,0,58.8,47.55,82.19999999999999,82.19999999999999,Persistence
5,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,24.1299991607666,5.080838656,88.2068499821949,0.29366682410798417,0.33853974170933565,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.13170651115058274,61.76469538263507,0.10851804064498413,0.04359890612079754,True,39,66,97,85,37,C,0,45.7,65.95,82.0,82.0,Persistence
6,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,26.5,2.984739328,64.8411275,0.24396622908275897,0.25775752437473504,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.07421187925193737,86.05261770972672,0.16403697125590186,0.26775349528633474,True,33,17,97,100,18,D,0,41.55,29.55,81.94999999999999,81.94999999999999,Persistence
7,LIF,"Life360, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,53.790000915527344,4.3586944,40.88954499595642,0.3176368295808164,0.21990818276752114,0.33382098508574054,0.778052672115976,1.952037845705968,0.32342386275539553,51.673736716453774,0.1337170896200746,0.5149246892272178,False,65,69,96,85,35,C,0,65.0,68.0,81.05000000000001,81.05000000000001,Persistence
8,GTLB,GitLab Inc. - Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,32.720001220703125,5.526408192,152.0856740739441,0.2581169023600953,0.30926219076884875,0.3666198484220052,0.8735971876753515,3.0,0.00010854756966635264,64.98357614168366,0.13794846521841003,0.3589341568614848,False,46,44,100,85,23,D,0,49.55,48.05,80.85,80.85,Persistence
9,INTA,"Intapp, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,29.1200008392334,2.244033536,24.067535093622208,0.17094789360847157,0.2270052127122919,0.2896376313535805,0.7398476553201618,0.9611826778127998,0.01802136304312087,72.12056992991056,0.21408205200189176,0.3891335859500061,False,29,32,97,100,8,D,0,37.55,39.8,79.94999999999999,79.94999999999999,Persistence
10,CWST,"Casella Waste Systems, Inc. - Class A Common Stock",Industrials,Waste Management,United States,その他,95.69999694824219,6.087471104,75.12162660446167,0.17951650406509287,0.23149962595153029,0.16538090423919144,0.33766450117348207,0.0794496968451341,0.3751149598919392,52.555846075225624,0.06961790122050857,0.13907886114200418,True,11,14,75,85,85,S,0,29.5,31.75,79.5,79.5,Persistence
