portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,21.600000381469727,5.383964672,164.77657491005897,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,48.41362873098367,0.04007167027039446,0.1445544403378326,True,36,49,97,85,100,S,0,49.75,59.5,94.6,94.6,Persistence
2,2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,55.2400016784668,7.3834496,63.31553752384186,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,55.521471614929354,0.006204418441322703,0.11167055871166287,True,25,21,97,85,100,S,0,41.5,38.5,94.6,94.6,Persistence
3,3,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,79.79000091552734,9.66414336,175.07043260879516,0.24120162058213998,0.22465031467392235,0.24941436937580347,0.7678756768953069,0.31998218609959084,0.009285980004130084,34.14160204632404,-0.043325509635248366,0.18664625732307175,True,50,24,100,85,90,S,0,59.25,39.75,94.25,94.25,Persistence
4,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,372.69000244140625,4.73847296,170.23920276519775,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,43.57725084827842,0.0991691349102313,0.15781980098646814,True,85,64,100,85,85,S,0,85.0,69.25,93.25,93.25,Persistence
5,1,UROY,Uranium Royalty Corp. - Common Stock,Energy,Uranium,United States,電力/エネルギー,3.4000000953674316,1.295628928,11.275267316262722,3.0,-0.6386939664840271,2.0767469467303323,0.30626577945141,3.0,0.00030536804885888784,69.63350942190355,0.12200115622664956,0.37728936417346043,False,69,100,42,100,23,D,-5,64.05,87.3,47.7,87.3,Transition
6,2,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,544.8400268554688,187.796635648,4006.211441668396,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,48.57135762222948,-0.029263203755479163,0.2698765245089411,True,74,100,30,25,83,S,0,67.55,87.05,39.35,87.05,Transition
7,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,77.5199966430664,5.970358272,19.369921561203004,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,45.96321664392889,0.06731637351287385,0.0894596181245614,True,86,64,82,85,85,S,0,85.75,69.25,83.35,85.75,Acceleration
8,3,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.260000228881836,3.893408512,33.86272558450699,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,50.21186920117673,-0.016174490456829897,0.515527956803189,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition
9,3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,19.84000015258789,3.403294976,37.16448668582916,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,45.86129906648731,0.09607810852164993,0.11230425888327342,True,82,75,38,85,85,S,0,82.75,77.5,59.150000000000006,82.75,Acceleration
10,4,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,24.459999084472656,2.675596288,19.41818177318573,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,39.96982766556809,-0.05722922802441451,0.23942788555576022,False,73,75,25,100,70,A,0,76.75,78.25,52.75,78.25,Transition
